n_patients,n_positive,positive_rate,auc,ap,country_iso,wb_group,top_feature_1_name,top_feature_1_importance,top_feature_2_name,top_feature_2_importance,top_feature_3_name,top_feature_3_importance,top_feature_4_name,top_feature_4_importance,top_feature_5_name,top_feature_5_importance,top_feature_6_name,top_feature_6_importance,top_feature_7_name,top_feature_7_importance,top_feature_8_name,top_feature_8_importance,top_feature_9_name,top_feature_9_importance,top_feature_10_name,top_feature_10_importance
582,24.0,0.041237113402061855,0.6908602150537634,0.17530685297051865,GB,2,approach_op_,0.12278498709201813,pre_indication,0.0927911177277565,op_img_stone_mx,0.08361314237117767,op_comp,0.07545311003923416,pre_urgency,0.0646669864654541,op_performed_stc,0.04471522569656372,cbd_exploration_op_,0.03956839069724083,op_operator_cons,0.03946909308433533,op_nassar,0.03739268332719803,pre_img_finding_cbd,0.036431390792131424
470,6.0,0.01276595744680851,0.9015804597701149,0.13699319226257706,IN,0,approach_op_,0.129023477435112,pre_indication,0.0910208597779274,op_comp,0.0763104259967804,op_img_stone_mx,0.07296596467494965,pre_urgency,0.0606251060962677,op_operator_cons,0.04350252449512482,op_performed_stc,0.03934716433286667,cbd_exploration_op_,0.038321975618600845,pre_img_finding,0.03367556259036064,op_anaes_inhaled,0.032581303268671036
380,18.0,0.04736842105263158,0.8529772866789441,0.26288811165835924,IT,2,approach_op_,0.1199244037270546,pre_indication,0.09297682344913483,op_img_stone_mx,0.08754416555166245,op_comp,0.07505963742733002,pre_urgency,0.06600046902894974,op_performed_stc,0.04645414650440216,op_nassar,0.04013501852750778,cbd_exploration_op_,0.03924218937754631,pre_img_finding_cbd,0.03866693750023842,op_operator_cons,0.03767568618059158
330,18.0,0.05454545454545454,0.7083333333333333,0.14666652909526878,US,2,approach_op_,0.11664171516895294,pre_indication,0.0933641567826271,op_img_stone_mx,0.09016914665699005,op_comp,0.07634071260690689,pre_urgency,0.06883212924003601,op_performed_stc,0.04924191161990166,op_nassar,0.04199293255805969,pre_img_finding_cbd,0.040051911026239395,cbd_exploration_op_,0.03828779608011246,op_operator_cons,0.03589446842670441
288,17.0,0.059027777777777776,0.6809203386151508,0.2237736765279914,AU,2,approach_op_,0.12021703273057938,pre_indication,0.09294447302818298,op_img_stone_mx,0.0876954197883606,op_comp,0.07370942085981369,pre_urgency,0.06533752381801605,op_performed_stc,0.04533083736896515,op_nassar,0.041669853031635284,pre_img_finding_cbd,0.0395500473678112,cbd_exploration_op_,0.039279960095882416,op_operator_cons,0.03798873722553253
221,12.0,0.05429864253393665,0.8811802232854865,0.7316047596495273,MX,1,approach_op_,0.1179179921746254,pre_indication,0.1170646995306015,pre_urgency,0.08247624337673187,op_comp,0.07202404737472534,op_img_stone_mx,0.06995220482349396,op_operator_cons,0.04431171342730522,pre_urgency_ele_list,0.042179208248853683,op_performed_stc,0.039421163499355316,op_anaes_inhaled,0.03835472837090492,cbd_exploration_op_,0.03685837611556053
192,6.0,0.03125,0.8566308243727598,0.1803360680456474,PK,0,approach_op_,0.1307726353406906,pre_indication,0.09177383780479431,op_img_stone_mx,0.07473932206630707,op_comp,0.07463294267654419,pre_urgency,0.05909954011440277,op_operator_cons,0.04389771819114685,cbd_exploration_op_,0.039723657071590424,op_performed_stc,0.03857004642486572,pre_img_finding,0.032767534255981445,op_nassar,0.03271590173244476
186,2.0,0.010752688172043012,0.5679347826086957,0.5062111801242236,TR,1,approach_op_,0.12227622419595718,pre_indication,0.09241384267807007,op_img_stone_mx,0.08434451371431351,op_comp,0.07370802760124207,pre_urgency,0.06398710608482361,op_performed_stc,0.043291814625263214,op_nassar,0.040576912462711334,op_operator_cons,0.039330389350652695,cbd_exploration_op_,0.03932672366499901,pre_img_finding_cbd,0.03844468295574188
179,6.0,0.0335195530726257,0.7870905587668593,0.2522749984858579,ES,2,approach_op_,0.12411582469940186,pre_indication,0.09254907071590424,op_img_stone_mx,0.0828297883272171,op_comp,0.07709825038909912,pre_urgency,0.06414871662855148,op_performed_stc,0.045473307371139526,cbd_exploration_op_,0.03998444974422455,op_operator_cons,0.03985366225242615,op_nassar,0.035632699728012085,pre_img_finding_cbd,0.034831106662750244
167,5.0,0.029940119760479042,0.9123456790123458,0.202010582010582,PT,2,approach_op_,0.12058386951684952,pre_indication,0.0931289941072464,op_img_stone_mx,0.08684578537940979,op_comp,0.07637015730142593,pre_urgency,0.06631572544574738,op_performed_stc,0.0475340336561203,cbd_exploration_op_,0.039447784423828125,op_nassar,0.03826504945755005,op_operator_cons,0.03784671425819397,pre_img_finding_cbd,0.0371473953127861
